Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
MIDWillockNEW,£5.0m,12,365,7,1,5,1,0.86,0,7,1,0.44,1,27.55,71,0,0,17
FWDEnes ÜnalBOU,£5.4m,13,125,8,2,6,1,1.01,1,1,1,0.02,0,18.52,62,1,0,17
DEFBradleyLIV,£4.9m,5,348,4,0,3,0,0.18,0,1,0,0.16,0,22.86,68,0,0,17
MIDMilnerBHA,£4.9m,10,326,4,1,2,1,0.89,1,4,0,0.19,0,25.39,66,0,0,17
MIDYatesNFO,£4.7m,10,275,6,1,2,0,0.3,0,4,0,0.35,2,21.46,67,0,0,16
DEFMilosavljevićBOU,£4.4m,5,276,1,0,1,1,0.15,0,1,0,0.19,0,24.38,54,0,4,16
MIDDevennyCRY,£4.3m,10,460,7,2,5,2,1.08,0,7,0,0.29,0,29.45,55,0,0,16
DEFScarlesWHU,£4.3m,6,367,3,0,3,0,0.18,0,3,3,0.16,1,22.68,64,0,4,16
MIDGnontoLEE,£5.1m,13,297,9,0,4,0,0.32,0,4,0,0.19,1,23.79,57,0,0,16
DEFLucas PiresBUR,£3.8m,10,744,10,3,3,1,0.43,0,14,0,1.09,0,30.94,79,0,0,15
FWDWissaNEW,£7.3m,10,293,7,3,6,2,1.34,0,1,0,0.53,1,20.22,31,0,0,14
DEFKilmanWHU,£4.0m,9,721,6,1,6,2,0.55,0,2,0,0.05,0,29.27,22,0,6,14
FWDPabloWHU,£5.4m,7,384,5,2,5,2,0.49,0,6,2,0.98,1,18.71,46,0,0,14
DEFO'NienSUN,£4.0m,4,210,3,1,3,0,0.1,0,2,0,0.1,1,17.11,54,1,0,14
DEFTosinCHE,£4.0m,5,221,0,0,0,0,0,0,0,0,0.02,0,17.53,42,0,4,13
DEFChadi RiadCRY,£4.0m,4,220,3,2,3,1,0.29,0,1,1,0.04,1,14.93,53,0,0,13
MIDRiggSUN,£4.7m,8,396,4,1,3,0,0.31,0,5,2,0.44,0,19.68,53,0,0,13
MIDDowmanARS,£4.2m,4,90,5,1,4,1,1.12,1,3,0,0.15,1,14.37,47,0,0,12
DEFBornauwLEE,£3.8m,6,173,0,0,0,0,0,0,0,0,0.01,0,23.83,37,0,0,12
MIDJamesLEE,£5.2m,10,267,9,2,4,2,0.75,0,4,0,0.22,0,24.01,47,0,0,12
DEFCirkinSUN,£4.0m,4,187,1,0,1,0,0.07,0,0,0,0.02,0,15.94,38,0,2,12
FWDPiroeLEE,£4.9m,11,141,10,2,6,1,0.73,0,1,0,0.11,0,17.07,29,0,0,12
MIDReedFUL,£4.3m,4,12,2,1,0,0,0.13,1,1,0,0.13,0,8.87,33,2,0,11
FWDG.JesusARS,£6.4m,8,223,8,5,6,0,0.52,1,2,0,0.12,0,10.67,42,0,0,11
