Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
MIDWhartonCRY,£5.0m,18,1412,13,4,3,0,0.5,1,25,8,3.81,5,65.35,314,8,10,73
FWDIgor JesusNFO,£5.9m,18,1140,31,12,28,3,2.58,5,8,2,0.4,4,48.21,275,11,0,72
MIDM.FernandesWHU,£5.5m,18,1508,14,4,4,0,0.79,1,15,2,1.47,2,68.51,334,2,20,72
FWDCalvert-LewinLEE,£5.8m,17,1262,34,17,32,15,7.65,6,11,2,0.39,2,71.34,236,10,0,71
FWDRicharlisonTOT,£6.5m,17,1038,35,16,32,9,4.57,6,14,5,1,4,57.78,314,11,0,71
DEFMatheus N.MCI,£5.3m,18,1503,4,1,1,0,0.14,0,15,2,1.19,3,63.46,335,7,6,71
MIDMbeumoMUN,£8.3m,16,1275,28,13,22,12,5.06,5,22,3,1.82,2,69.67,224,9,0,71
MIDSarrCRY,£6.4m,13,1060,23,13,19,10,6.79,6,8,1,0.55,2,67.34,220,5,0,69
MIDWilsonFUL,£5.8m,18,1323,30,10,18,1,2.28,2,20,7,3.06,5,64.12,272,7,2,69
MIDAmpaduLEE,£4.9m,18,1610,13,3,5,2,1.4,0,5,0,1,3,70.77,300,5,22,69
MIDCunhaMUN,£8.1m,16,1294,46,16,23,6,3.54,4,16,1,1.55,2,66.11,275,8,2,69
GKKelleherBRE,£4.8m,18,1620,0,0,0,0,0,0,0,0,0.03,0,53.11,272,9,0,69
GKPickfordEVE,£5.6m,19,1710,0,0,0,0,0,0,0,0,0.17,0,52.37,277,8,0,67
MIDTavernierBOU,£5.3m,17,1346,35,11,13,8,4.69,4,33,4,2.71,2,74.06,269,6,4,65
MIDAaronsonLEE,£5.4m,19,1296,22,10,11,2,1.61,2,19,3,2.55,4,63.77,232,2,6,65
MIDStachLEE,£4.8m,14,1157,26,8,11,0,1.27,2,24,5,2.32,2,56.07,243,8,12,64
DEFF.KadıoğluBHA,£4.5m,19,1619,16,8,9,3,1.41,0,12,2,1.59,2,63.95,291,3,4,64
MIDNetoCHE,£7.0m,17,1297,27,10,20,6,3.23,4,23,4,2.14,3,63.26,266,3,0,64
MIDJ.PalhinhaTOT,£5.5m,16,1151,14,4,7,2,1.41,3,2,0,0.21,1,51.93,268,9,8,64
DEFRichardsCRY,£4.4m,18,1475,4,0,4,1,0.96,0,3,1,0.8,0,69.89,233,3,18,64
MIDSummervilleWHU,£5.4m,15,1208,25,9,21,6,2.81,4,12,3,1.3,2,55.6,238,9,0,64
GKSelsNFO,£4.6m,17,1452,0,0,0,0,0,0,1,0,0.05,0,54.34,261,0,0,63
DEFPedro PorroTOT,£5.2m,18,1495,18,4,7,0,0.55,0,20,3,2.01,2,57.55,255,5,8,63
DEFJamesCHE,£5.6m,15,1001,10,4,3,1,0.61,2,10,4,1.5,3,55.82,246,6,0,63
DEFRomeroTOT,£5.0m,12,997,9,4,9,1,0.75,3,7,3,0.69,1,42.49,199,9,14,62
DEFO'BrienEVE,£4.9m,19,1637,7,3,7,0,0.81,0,11,0,0.53,2,53.69,192,1,8,62
MIDCaicedoCHE,£5.7m,15,1268,13,4,5,2,0.93,2,9,3,0.89,1,57.68,313,7,14,62
FWDWelbeckBHA,£6.3m,19,1265,30,15,23,12,7.08,5,9,1,0.52,1,70.99,230,7,0,62
MIDDamsgaardBRE,£5.6m,16,1025,13,6,9,4,1.21,3,22,8,2.58,2,56.79,247,4,6,61
DEFAldereteSUN,£4.1m,17,1426,12,5,9,3,0.96,1,3,1,0.56,0,56.1,188,4,14,60
MIDPalmerCHE,£10.3m,13,882,21,12,12,6,3.25,6,5,0,0.65,1,46.17,215,8,0,60
MIDM.SalahLIV,£14.0m,12,992,24,8,22,9,4.12,4,18,5,2.19,3,57.38,177,6,0,60
GKPetrovićBOU,£4.6m,19,1710,0,0,0,0,0,0,0,0,0.01,0,46.78,254,4,0,60
DEFJ.TimberARS,£6.0m,16,1335,10,1,10,4,2.05,0,16,2,1.19,2,77.23,225,2,6,60
MIDXhakaSUN,£5.1m,17,1442,11,3,4,0,0.58,0,12,3,1.31,2,62.34,282,4,16,60
GKVerbruggenBHA,£4.6m,19,1710,0,0,0,0,0,0,1,0,0.04,0,58.53,294,2,0,60
MIDE.Le FéeSUN,£4.8m,18,1428,16,4,7,2,1.6,1,26,7,2.8,4,64.09,280,5,6,60
MIDJensenBRE,£4.9m,17,1099,18,5,7,2,1.84,2,14,4,2.86,2,64.18,223,1,8,59
FWDKroupi.JrBOU,£4.7m,18,884,26,10,17,5,3.43,6,12,2,0.86,0,48.94,265,8,0,59
DEFVan den BergBRE,£4.4m,16,1440,9,3,8,1,0.72,0,1,1,0.21,1,53.1,211,2,14,59
DEFHillBOU,£4.2m,14,981,6,1,4,0,0.34,0,5,1,0.43,1,46.05,201,2,14,58
MIDCasemiroMUN,£5.8m,15,1111,17,4,9,3,1.76,2,16,2,1.53,0,60.02,230,7,14,58
FWDFlemmingBUR,£5.3m,14,868,19,11,15,12,4.06,8,6,0,0.22,0,44.26,227,7,0,58
DEFMitchellCRY,£5.0m,19,1620,9,3,7,2,0.87,1,12,2,0.68,1,57.97,225,2,6,58
DEFMilenkovićNFO,£5.1m,19,1665,2,0,2,0,0.05,0,1,1,0.25,0,51.8,192,2,14,58
MIDZubimendiARS,£4.9m,19,1572,10,3,9,1,0.84,1,8,1,1.28,1,62.35,271,3,8,58
GKHendersonCRY,£5.1m,19,1710,0,0,0,0,0,0,1,0,0.08,0,54.16,258,2,0,58
DEFDioufWHU,£4.1m,16,1392,13,3,6,0,0.48,0,16,4,1.3,4,46.36,190,2,6,58
GKRoefsSUN,£4.8m,17,1530,0,0,0,0,0,0,4,1,0.05,0,49.97,255,5,0,57
DEFKonatéLIV,£5.4m,18,1534,4,1,3,1,0.63,0,6,1,0.33,0,66.7,243,4,12,57
MIDJ.GomesWOL,£5.3m,18,1438,7,3,5,0,0.44,0,6,1,0.99,1,61.57,257,3,18,56
DEFRúbenMCI,£5.5m,12,934,5,1,3,0,0.27,1,4,0,0.34,0,46.22,201,2,10,56
DEFSalibaARS,£6.3m,14,1129,3,0,3,2,0.5,0,1,0,0.43,0,64.82,236,3,4,56
GKLenoFUL,£5.0m,19,1710,0,0,0,0,0,0,0,0,0.01,0,53.69,258,4,0,56
MIDTrossardARS,£6.6m,15,925,24,9,17,7,3.04,4,10,4,1.22,1,55.95,197,5,0,56
FWDRaúlFUL,£5.9m,18,1090,41,11,31,7,5.76,5,7,0,0.26,1,58.96,195,6,0,56
DEFO'ReillyMCI,£5.3m,19,1380,20,8,18,5,3.27,1,11,2,1.23,1,75.35,207,3,0,56
DEFMukieleSUN,£4.6m,15,1342,3,1,3,1,0.24,1,8,1,0.96,1,44.98,165,3,12,56
FWDBetoEVE,£5.1m,18,749,14,7,14,8,4.32,5,3,0,0.13,0,50.76,188,9,0,55
